"endTime","artistName","trackName","msPlayed"
"2022-05-05 21:56","Travis Scott","HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX",245227
"2022-05-05 21:57","JACKBOYS","JACKBOYS",46856
"2022-05-05 22:01","JACKBOYS","GANG GANG",245100
"2022-05-05 22:03","Don Toliver","HAD ENOUGH (feat. Quavo & Offset)",157689
"2022-05-05 22:19","JACKBOYS","OUT WEST (feat. Young Thug)",36048
"2022-05-05 23:18","Future","I'M ON ONE (feat. Drake)",236186
"2022-05-05 23:23","Tyler, The Creator","WHAT'S GOOD",112518
"2022-05-05 23:27","BROCKHAMPTON","NO HALO",235434
"2022-05-06 03:09","BROCKHAMPTON","NO HALO",4970
"2022-05-06 03:13","Future","I'M ON ONE (feat. Drake)",236186
"2022-05-06 03:13","Future","I'M ON ONE (feat. Drake)",1002
"2022-05-06 03:13","Tyler, The Creator","NEW MAGIC WAND",5199
"2022-05-06 03:14","tana","off the leash! (feat. yvngxchris and Luisss)",87104
"2022-05-06 03:58","tana","off the leash! (feat. yvngxchris and Luisss)",194994
"2022-05-06 04:02","Future","I'M ON ONE (feat. Drake)",236186
"2022-05-06 20:50","tana","off the leash! (feat. yvngxchris and Luisss)",20381
"2022-05-06 20:53","Future","I'M ON ONE (feat. Drake)",209301
"2022-05-06 20:57","Future","KEEP IT BURNIN (feat. Kanye West)",200127
"2022-05-06 20:57","Future","KEEP IT BURNIN (feat. Kanye West)",277
"2022-05-06 20:59","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-06 21:00","6 Dogs","Faygo Dreams",42332
"2022-05-06 21:04","Buckshot","Barn Owls",206470
"2022-05-06 21:05","SOB X RBE","Paramedic!",58650
"2022-05-06 21:07","Denzel Curry","Troubles [Feat. T-Pain]",160000
"2022-05-06 21:10","Benny The Butcher","When Tony Met Sosa",141176
"2022-05-06 21:12","Kanye West","Can't Tell Me Nothing",10363
"2022-05-06 21:12","Frank Ocean","In My Room",133680
"2022-05-06 21:15","Bladee","Thee 9 Is Up",184026
"2022-05-06 21:17","Joey Trap","Tables",129649
"2022-05-06 21:18","Bladee","Faust",12309
"2022-05-06 21:20","Bladee","The Flag is Raised",159253
"2022-05-06 21:23","Big Jungle","Prince Of The Mitten",0
"2022-05-06 21:23","Buckshot","Long Walk Home",52736
"2022-05-06 21:26","Tae Retro","Phil Jackson",146494
"2022-05-06 21:30","Tae Retro","Phil Jackson",89045
"2022-05-06 21:31","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",1557
"2022-05-07 01:57","Future","KEEP IT BURNIN (feat. Kanye West)",362
"2022-05-07 01:57","Future","I'M ON ONE (feat. Drake)",207010
"2022-05-07 01:57","Pusha T","Let The Smokers Shine The Coupes",2560
"2022-05-07 02:00","Pusha T","Neck & Wrist (feat. JAY-Z & Pharrell Williams)",209314
"2022-05-07 02:02","SAINt JHN","I Heard You Got Too Litt Last Night",37411
"2022-05-07 02:05","Pusha T","Dreamin Of The Past (feat. Kanye West)",173633
"2022-05-07 02:08","Young Stoner Life","Take It To Trial (feat. Yak Gotti)",170266
"2022-05-07 02:11","Post Malone","Goodbyes (feat. Young Thug)",174853
"2022-05-07 02:12","Playboi Carti","Die4Guy",49866
